Ranking,Title,Media_Info,Rating,Description,Title_URL,Image_URL
#168,Guardian: The Lonely and Great God,"Korean Drama - 2016, 16 episodes",8.8,"Kim Sin was once an unbeatable general in Goryeo's military who died tragically. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Sin has searched for his bride,",https://mydramalist.com/18452-goblin,https://i.mydramalist.com/JkD8Xs.jpg?v=1
#281,Strong Woman Do Bong Soon,"Korean Drama - 2017, 16 episodes",8.7,"Do Bong Sun is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is, in fact, very, very strong. For generations in her family, the women have been gifted Herculean",https://mydramalist.com/18894-strong-woman-do-bong-soon,https://i.mydramalist.com/XZqYJs.jpg?v=1
#125,It's Okay to Not Be Okay,"Korean Drama - 2020, 16 episodes",8.9,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more.",https://mydramalist.com/49865-psycho-but-it-s-okay,https://i.mydramalist.com/xw3xX_4s.jpg?v=1
#597,What's Wrong with Secretary Kim,"Korean Drama - 2018, 16 episodes",8.5,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around",https://mydramalist.com/27885-why-secretary-kim,https://i.mydramalist.com/jr3Dzs.jpg?v=1
#70,Crash Landing on You,"Korean Drama - 2019, 16 episodes",9,"After getting into a paragliding accident, South Korean heiress Yun Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jeong Hyeok, who agrees to help her return to South Korea. Despite the",https://mydramalist.com/35729-emergency-lands-of-love,https://i.mydramalist.com/g0wylo_4s.jpg?v=1
#375,Descendants of the Sun,"Korean Drama - 2016, 16 episodes",8.6,A love story that develops between a surgeon and a special forces officer. Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes,https://mydramalist.com/10904-descendants-of-the-sun,https://i.mydramalist.com/vN26Zs.jpg?v=1
#207,Weightlifting Fairy Kim Bok Joo,"Korean Drama - 2016, 16 episodes",8.7,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine",https://mydramalist.com/19262-weightlifting-fairy-kim-bok-joo,https://i.mydramalist.com/D2X7Ds.jpg?v=1
#303,Business Proposal,"Korean Drama - 2022, 12 episodes",8.7,"Sin Ha Ri, a single woman, has a crush on her male friend but is heartbroken to learn he has a girlfriend. She meets her friend Jin Yeong Seo, the daughter of a chaebol family, who asks Sin Ha Ri to take her place on",https://mydramalist.com/693591-in-house-confrontation,https://i.mydramalist.com/v24Pg_4s.jpg?v=1
#632,W,"Korean Drama - 2016, 16 episodes",8.5,"O Seong Mu, the father of cardiothoracic surgeon O Yeon Ju, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Ju goes to his office looking, but a hand from his monitor suddenly pulls",https://mydramalist.com/16589-w,https://i.mydramalist.com/6wjE0_4s.jpg?v=1
#449,Hotel del Luna,"Korean Drama - 2019, 16 episodes",8.6,"In the heart of Seoul stands a mysterious, ancient hotel, managed by the greedy and resentful Jang Man Wol, who has spent a thousand years running it. Bound by a deity to prevent her from self-destructing due to her",https://mydramalist.com/32925-hotel-del-luna,https://i.mydramalist.com/RApq6s.jpg?v=1
