title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
100 Days My Prince,Dear Husband of 100 Days,"Lee Yul is the king's nephew who enjoys spending his days playing instead of studying. He enjoys playing with the peasant children alongside his best friend and guardian, Dong-joo. One day, as he is playing with the peasant children where they are playing as Villains, Yul uses his nobility status to punish the children by beating them up, oblivious that his actions were hurting them. The children could not object to this treatment due to Yul's status. A girl, Yoon Yi-seo intervenes and chides Yul for his cruel actions. Like Yul, Yi-seo is from a noble family, but is kind, smart and compassionate. Yul instantly develops a crush on Yi-seo and this causes him to change and become more studious in order to impress her. Yi-seo's father is a general and the right-hand man of the King.",tvN,,"Historical, Romantic comedy",,,"September 10 –
October 30, 2018",,"Doh Kyung-soo, Nam Ji-hyun, Jo Sung-ha, Jo Han-chul, Kim Seon-ho, Han So-hee, Kim Jae-young",No Ji-sul,"Lee Jong-jae, Nam Sung-woo",16 + 2 special,2018,-
12 Signs of Love,-,"12 Signs of Love (Korean: 일년에 열두남자; Hanja: 一年에 열두男子; RR: Illyeone Yeoldunamja; lit. Twelve Men in a Year) is a 2012 South Korean television series starring Yoon Jin-seo and On Joo-wan. It aired on tvN from February 15 to April 5, 2012, on Wednesdays and Thursdays at 23:00 (KST) for 16 episodes.",tvN,,Romantic comedy,,,"February 15 –
April 5, 2012",,"Yoon Jin-seo, On Joo-wan",Hwang Jo-yoon,Oh Jong-rok,16,2012,-
12 Years Promise,"Jang Gook Becomes Dal-rae: Reunion in 12 Years, Wild Chives and Tofu Soup, Wild Chive Soybean Paste Soup, Soothed Clear Soup","In 2002, on the night of Korea's momentous World Cup win, high school sweethearts Jang Guk (Lee So-yeon) and Yu Jun-su (Namkoong Min) sleep together and Jang Guk ends up pregnant. They are given permission to marry by Jun-su's father, but after a horrible accident, Jang Guk loses the baby. Their mothers who were against the relationship from the beginning, take advantage of the situation and split them up. Jang Guk then leaves Korea to live in the U.S. and changes her name to Jang Dal-lae. Twelve years later, they reunite and get entangled in each other's lives again. The only problem is that Yu Jun-su doesn't know it's her and Jang Guk doesn't want him to know.","JTBC
OBS TV (2018)",,"Romantic comedy, Family",,,"March 22 –
June 29, 2014",,"Lee So-yeon, Namkoong Min, Lee Tae-im, Yoon So-hee, Lee Won-keun, Ryu Hyo-young",Kim Yi-kyung,"Kim Do-hyung, Yoon Jae-won",26,2014,-
18 Again,-,"Jung Da-jung (Kim Ha-neul) and Hong Dae-young (Yoon Sang-hyun) are married and have a set of fraternal twins, Hong Shi-ah (Roh Jeong-eui) and Hong Shi-woo (Ryeoun). At first, they have a perfectly happy marriage despite having children at a very young age and having financial problems. Years later, their happy marriage starts crumbling when 37-year-old Da-jung files for divorce and their 18-year-old good looking twins start ignoring Dae-young, except for pocket money. Furthermore, Dae-young's life turns more miserable when he loses his job, after his boss promotes his nephew who has worked in the company for only 4 years, while relocating Dae-young to Busan.",JTBC,,"Romance, Comedy, Fantasy drama, Coming-of-age",,,"September 21 –
November 10, 2020",,"Kim Ha-neul, Yoon Sang-hyun, Lee Do-hyun","Ahn Eun-bin, Choi Yi-ryool, Kim Do-yeon",Ha Byung-hoon,16,2020,-
1st Republic (TV series),The First Republic,"The show covers events from 1945 to 1960, including the 1945 liberation of Korea from the Japanese Empire, the 1950 Korean War, and the 1960 establishment of the Second Republic of Korea.",MBC TV,,"Period drama, Docudrama, Biopic",,,"2 April 1981 –
11 February 1982",,-,-,-,39,"1981, 1982",-
365: Repeat the Year,-,"Ten people are given the possibility to go back in time, but mysterious events start to happen.",MBC TV,,"Mystery, Fantasy",,,"March 23 –
April 28, 2020",,"Lee Joon-hyuk, Nam Ji-hyun, Kim Ji-soo, Yang Dong-geun","Lee Seo-yun, Lee Soo-kyung",Kim Kyung-hee,24,2020,-
4 Legendary Witches,"Legendary Witches, The Legendary Witches, The Legendary Witch, Witches of Legend, Legend of the Witch, The Witches Coven, Legendary Women","Orphan Moon Soo-in marries Ma Do-hyun, the eldest son of the chaebol family who owns bakery corporation Shinhwa Group. But when Do-hyun dies unexpectedly, the Ma family makes Soo-in take the fall for their illegal business practices and she ends up in jail for stock manipulation that she did not commit. At Cheongju's Penitentiary for Women, her cellmates are kind-hearted and consists of Shim Bok-nyeo who was falsely accused of killing her husband and son; tough-as-nails, foul-mouthed Son Poong-geum who was convicted of fraud, and former model Seo Mi-oh who's been charged with the attempted murder of her boyfriend, Shinhwa Group's youngest son.",MBC TV,,"Romance, Revenge, Family",,,"October 25, 2014 –
March 8, 2015",,"Han Ji-hye, Ha Seok-jin, Go Doo-shim, Oh Hyun-kyung, Ha Yeon-soo",Gu Hyun-sook,Joo Sung-woo,40,"2014, 2015",-
49 Days,Pure Love,"Gullible yet cheerful Shin Ji-hyun (Nam Gyu-ri) is living a perfect life: she is the only daughter of wealthy, doting parents and is surrounded by supportive best friends. She is also engaged to be married to the perfect man, Kang Min-ho (Bae Soo-bin), in just a few weeks. Meanwhile, Song Yi-kyung (Lee Yo-won) is in an existential crisis following her boyfriend's tragic death. She works third shift at a convenience store, sleeps in the afternoon, and often spends what little time she has left in the day contemplating suicide.",SBS TV,,"Romance, Melodrama, Fantasy, Body swap",,,"March 16 –
May 19, 2011",,"Lee Yo-won, Nam Gyu-ri, Jung Il-woo, Jo Hyun-jae, Bae Soo-bin, Seo Ji-hye",So Hyun-kyung,Jo Young-kwang,20,2011,-
5th Republic (TV series),The Fifth Republic,-,MBC TV,,"Period drama, Docudrama, Biopic",,,"April 23 –
September 1, 2005",,"Lee Deok-hwa, Seo In-seok, Hong Hak-pyo, Lee Jin-woo, Cha Kwang-soo, Lee Jae-yong",Yoo Jung-soo,"Im Tae-woo, Kim Sang-rae",41,2005,-
7 First Kisses,"Seven First Kisses, First Kiss for the Seventh Time","Min Soo-jin (Lee Cho-hee) is a Lotte Duty Free store employee who has never been in a relationship before. One day she meets the goddess of dating (Choi Ji-woo), who grants her a chance to pick — among seven men — the perfect partner for her first kiss. Her options are a religious tech billionaire (Lee Joon-gi), a serious yet romantic boss (Park Hae-jin), a sexy secret agent (Ji Chang-wook), an adorable younger male friend (Kai), an innocent chaebol heir (Ok Taec-yeon), a beloved K-pop idol (Lee Jong-suk), and finally, a free-spirited travel writer (Lee Min-ho).",Naver TV Cast,,Romantic comedy,,,"December 5, 2016 –
January 5, 2017",,"Lee Cho-hee, Choi Ji-woo, Lee Joon-gi, Park Hae-jin, Ji Chang-wook, Kim Jong-in, Ok Taec-yeon, Lee Jong-suk, Lee Min-ho",-,Jung Jung-hwa,8,"2016, 2017",-
